<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `aa m_ax_n_d `m_iy_l </s>	アーモンドミール	アヤミール
<s> `s_ae_m p_ax_l `d_aa k_y_ax m_eh_n_t </s>	サンプルドキュメント	サンプルドキュメント
<s> `w_ao_k `th_r_uw </s>	ウォークスルー	ウォークスルー
<s> `s_ae_l m_ax `n_eh l_ax </s>	サルモネラ	サルミナリ
<s> `f_uh_t `b_ao l_er </s>	フットボーラー	フットボーラー
<s> `f_ey_z </s>	フェーズ	フェーズ
<s> `f_eh_r `y_uw_z </s>	フェアユース	フェアユース
<s> `n_iy `d_r_aa_p </s>	ニードロップ	ネドロップ
<s> `s_l_ih p_er </s>	スリッパ	スライパー
<s> `eh_r `f_ao_r_s </s>	エアフォース	エアフォース
<s> `l_ay_v `sh_ow </s>	ライブショー	ライブショー
<s> `b_ay `oy_n `d_ah s_t_r_iy </s>	バイオインダストリー	バイオインダストリー
<s> `k_ah `t_ao_f </s>	カットオフ	カトオフ
<s> `s_k_r_uw </s>	スクリュー	スクリュー
<s> `s_n_ih p_ax_t </s>	スニペット	スニペット
<s> `b_ah_k `m_ih_n s_t_er f_ax_l r_iy_n </s>	バックミンスターフラーレン	バックミンスターフラーレン
<s> `k_r_aw ch_ih_ng `s_t_ae_n_s </s>	クラウチングスタイル	クラウチングスタンス
<s> `s_p_ah_n `r_ey ax_n </s>	スパンレーヨン	スパンラリン
<s> `s_ih_ch l_ih_d </s>	シクリッド	シクリッド
<s> `r_eh jh_ih s_t_r_iy </s>	レジストリ	レジストリ
<s> `r_eh t_r_ow </s>	レトロ	レトロ
<s> `f_iy_l_d `m_ae_p </s>	フィールドマップ	フィールドマップ
<s> d_iy `k_ah p_l_ih_ng </s>	デカップリング	ディアプリング
<s> `k_ao_r p_er ax_t `g_ah v_er n_ax_n_s </s>	コーポレートガバナンス	コーポレートガバナンス
<s> `k_y_uh r_iy `aa s_ax t_iy </s>	キュリオシティー	キュリアセチ
<s> `m_ih_n s_t_r_ax_l `sh_ow </s>	ミンストレルショー	ミンストレルショー
<s> k_ax `l_ow n_iy ax_l </s>	コロニアル	カロニアル
<s> `ch_eh_k_t `b_ih_l_d </s>	チェックビルド	チェックビルド
<s> `s_p_ih_n `ao_f </s>	スピンオフ	スピンオフ
<s> m_y_uw `z_ih sh_ax_n </s>	ミュージシャン	ミュージション
<s> `g_r_ae f_ih_k_s `m_ow_d </s>	グラフィックモード	グラフィックスモード
<s> `ao t_ow `s_aa_m p_l_er </s>	オートサンプラー	オートサンプラー
<s> `y_uw k_er ax_s_t </s>	ユーカリスト	ユーカリスト
<s> `b_aa_r </s>	バレー	バー
<s> jh n_ih_k </s>	ジェイピーニック	ジェイニック
<s> `p_ah_n_ch </s>	パンチ	パンチ
<s> `sh_eh_l t_er_d `hh_aw z_ih_ng </s>	シェルタードハウジング	シェルタードハウジング
<s> `s_eh k_ax_n `d_eh r_iy `r_ih_ng </s>	セカンダリリング	セコンディリリング
<s> `y_uw jh_ax `n_ih z_ax_m </s>	ユーゲニズム	ユージェニズム
<s> `p_ih k_ax_l_z </s>	ピクルス	ピカル
<s> `s_p_aa_t `ae_d </s>	スポットアド	スポットアド
<s> `m_ae_k s_iy `s_ih_ng g_ax_l </s>	マキシシングル	マクシシングル
<s> `s_p_r_ao_l </s>	スプロール	スプロール
<s> `s_ih_ng g_ax_l `k_w_ow_t </s>	シングルクォート	シングルクォート
<s> `r_ae t_ax t_w_iy </s>	ラタトゥイユ	ラタトゥイユ
<s> `k_l_ay ax_n_t `s_ay_d </s>	クライアントサイド	クライアントサイド
<s> `p_r_ow `g_r_ae m_ih_ng `s_ih s_t_ax_m </s>	プログラミングシステム	プログラミングシステム
<s> `sh_ae g_iy </s>	シャギー	シャギー
<s> `s_eh m_iy k_ax_n `d_ah_k t_er </s>	セミコンダクタ	セミコンダクター
<s> `r_ae_m jh_ax_t `eh_n jh_ax_n </s>	ラムジェットエンジン	ラゼットエンジン
<s> `k_ao_r p_ax_s </s>	コーパス	コーパス
<s> `f_r_ey_m ih_n </s>	フレームイン	フレームイン
<s> `k_l_ah s_t_er </s>	クラスター	クラスタ
<s> `r_ow_d `k_ow_n </s>	ロードコーン	ロードコーン
<s> k_ax_n `s_eh_p sh_ax_n </s>	コンセプション	コンセプション
<s> `b_ih_t `k_oy_n </s>	ビットコイン	ビットコイン
<s> `b_ah_s `m_ae s_t_er </s>	バスマスター	バスマスター
<s> `ay s_ow </s>	イソ	アイソ
<s> `r_iy f_l_eh_k_s </s>	レフレックス	リフレックス
<s> `p_ae_k_s ax `m_eh r_ax `k_ae n_ax </s>	パックスアメリカーナ	パックスアメリカナ
<s> `k_ae_l `d_eh r_ax </s>	カルデラ	カルデリ
<s> `k_ow_d `p_r_ow `g_r_ae m_ih_ng </s>	コードプログラミング	コードプログラミング
<s> `t_ay_m `s_k_eh jh_uh_l </s>	タイムスケジュール	タイムスケジュール
<s> `p_er f_ax_k_t `g_ey_m </s>	パーフェクトゲーム	パーフェクトゲーム
<s> `s_ih l_ax k_ax `t_ay_l </s>	シリカタイル	シリカタイル
<s> `hh_ay `k_iy `t_ow_n </s>	ハイキートーン	ハイキートーン
<s> `r_ow l_ih_ng `m_ih_l </s>	ローリングミル	ローリングミル
<s> `b_oy `k_aa_t </s>	ボイコット	ボーイコット
<s> `k_aa_l `m_aa t_ow </s>	カルマート	コルモト
<s> `k_ao_r p_er ax_t `k_ah_l ch_er </s>	コーポレートカルチャー	コーポレートカルチャー
<s> `d_ey_t </s>	デーツ	デ
<s> `l_uw_p `t_ay </s>	ループタイ	ループタイ
<s> `v_ih d_iy ow `aa_n d_ih `m_ae_n_d </s>	ビデオオンデマンド	ビデオアンデマンド
<s> `d_ih `s_t_ow p_iy ax </s>	ディストピア	ディストピア
<s> `n_aa_m `m_aa s_k_ax b_ax_l `ih_n t_er `ah_p_t </s>	ノンマスカブルインタラプト	ノンマスカブルインターラノントノンノン
<s> `b-iy `eh-s `s-iy </s>	ビーエスシー	ビーエスシー
<s> `jh_ey n_ax_s </s>	ヤーヌス	ジェネス
<s> `sh_eh_f_s `n_ay_f </s>	シェフナイフ	フレンチナイフ
<s> `n_uw_d `m_aa d_ax_l </s>	ヌードモデル	ヌードモデル
<s> g_r_ax `n_ow l_ax </s>	グラノーラ	グラノーラ
<s> `t_ah_ng s_t_ax_n `k_aa_r `b_ay_d </s>	タングステンカーバイド	タングステンカーバイド
<s> `k_aa_z m_ih_k </s>	コズミック	コミック
<s> `g_aa g_ax_l_z </s>	ゴーグル	ガグルス
<s> `t_ih r_ax n_iy </s>	ティラニー	テリニ
<s> `b_ae k_er </s>	バッカー	バカ
<s> ax `z_ih d_ax `th_ay m_ax `d_iy_n </s>	アジドチミジン	アジドチミジン
<s> `ay d_ax l_ih_ng </s>	アイドリング	アイデリング
<s> `s_t_ae_k `t_r_ey_s </s>	スタックトレース	スタックトレース
<s> eh_m `b_aa_r g_ow </s>	エンバーゴー	エンバーゴー
<s> `l_ae_k `t_ow `f_l_ae v_ih_n </s>	ラクトフラビン	ラクトフラビン
<s> `k_r_ae_f_t </s>	クラフト	クラフト
<s> `ae_d v_ax k_ax s_iy </s>	アドボカシー	アドバカシー
<s> `b_ae_k `s_l_ae_sh </s>	バックスラッシュ	バックスラッシュ
<s> `v_ae l_iy </s>	バレー	バリ
<s> `f_ay l_ih `n_ey_m </s>	ファイルネーム	ファイルネーム
<s> `p_ih_ng_k `s_l_ay_m </s>	ピンクスライム	ピンクスライム
<s> `aa_r `k_ay_v_z </s>	アーカイブス	アーカイブス
<s> `n_ih t_ih_ng </s>	ニッティング	ニト
<s> `f_aa_s f_r_ih `l_ey_z </s>	フォスフォリラーゼ	フォスフォリラーゼ
<s> `l_aa_b </s>	ロブ	ロブ
<s> `s_ah m_er `w_uh_l </s>	サマーウール	サマーウール
<s> `s_p_iy_d `b_ow_t </s>	スピードボート	スピードボート
<s> `k_ow_t `s_t_ae_n_d </s>	コートハンガー	コートスタンド
<s> d_ih `s_k_eh_t `d_r_ay_v </s>	ディスケットドライブ	デスケットドライブ
<s> `hh_aw_s `m_y_uw z_ih_k </s>	ハウスミュージック	ハウスミュージック
<s> `s_k_aa l_ax `b_ih l_ih t_iy </s>	スケーラビリティ	スカラビリティ
<s> `s_k_ih_n `d_ay v_er </s>	スキンダイバー	スキンダイバー
<s> `s_ow sh_ax_l `g_ey_m </s>	ソーシャルゲーム	ソシャゲーム
<s> `p_eh_n `t_ow_s </s>	ペントース	ペントース
<s> `w_er_k `s_ao_ng </s>	ワークソング	ワークソング
<s> d_ax `m_ae s_k_ax_s </s>	ダマスカス	ディマスカス
<s> `t_r_uw `s_t_ao r_iy </s>	トゥルーストーリー	トストーリー
<s> `d_ih s_k_ow </s>	ディスコ	ディスコ
<s> `eh_r `k_er t_ax_n </s>	エアカーテン	エアカーテン
<s> `w_er d_aa_r_t </s>	ワードアート	ワードアート
<s> `b_l_aa_n_d `hh_eh_r </s>	ブロンドヘア	ブロンドヘア
<s> `l_uw k_ax m_iy s_ih_n </s>	ロイコマイシン	ルコマシン
<s> `s_iy_d_z </s>	シーズ	シーズ
<s> `eh-n `s-iy `t-iy `v-iy </s>	エヌシーティービー	エヌシーティービー
<s> `w_ao t_er `f_r_ah_n_t </s>	ウォーターフロント	ウォーターフロント
<s> `p_r_ih_n t_er `f_aa_n_t </s>	プリンタフォント	プリンタフォント
<s> `hh_ao_n_t </s>	ハウント	ハウント
<s> `r_ih s_k_iy </s>	リスキー	リスキー
<s> `m_ao_r t_ax `d_eh_l l_ax </s>	モルタデッラ	モータデッラ
<s> `er b_ax_n `p_l_ae n_er </s>	アーバンプランナー	アーバンプラナ
<s> `m_ao r_ax_l `hh_ae z_er_d </s>	モラルハザード	モラルハザード
<s> `m_ae_t `k_ah l_er </s>	マットカラー	マットカラー
<s> `p_r_ow s_ax_t </s>	プロージット	プロセット
<s> eh_n `r_ih_ch_t `eh_r </s>	エンリッチドエア	エンリッチドエア
<s> d_er `eh_k_t_k_s </s>	ダイレクトエックス	ダイレクトエックス
<s> `r_ey g_ax `n_aa m_ih_k_s </s>	レーガノミックス	ラガノミックス
<s> `s_w_iy_t `b_r_eh_d </s>	シビレ	スイートブレッド
<s> `k_aa p_er m_ih_n </s>	カッパーマイン	コペルミン
<s> `l_eh `g_aa t_ow </s>	レガート	レゴト
<s> r_iy `v_eh_n_jh </s>	リベンジ	リベンジ
<s> f_eh `n_eh th_ih l_ax `m_iy_n </s>	フェネチルアミン	フェネチリミン
<s> `b_ae_ng k_er </s>	バンカー	バンカー
<s> `d_r_aa m_ax `k_w_iy_n </s>	ドラマクイーン	ドラマクイーン
<s> `m_ah_l t_iy `p_l_eh_k s_er `ch_ae n_ax_l </s>	マルチプレクサチャネル	マルチプレクサチャネル
<s> `ow p_ax_n `r_iy_l </s>	オープンリール	オープンリール
<s> `sh_ih_f_t `r_eh jh_ih s_t_er </s>	シフトレジスタ	シフトレジスター
<s> `b_ah_k </s>	ブク	バック
<s> `b_aa_r b_ih `k_y_uw `s_ao_s </s>	バーベキューソース	バーベキューソース
<s> `s_p_ow_k `s_w_uh m_ax_n </s>	スポークスウーマン	スポークスウーマン
<s> s_ae_s `k_w_aa_ch </s>	サスクワッチ	サスクワッチ
<s> `s_t_r_eh_ng_th </s>	ストレングス	ストレングス
<s> `n_iy s_ow </s>	エヌアイエスオー	ネソ
<s> ae_n `t_ae g_ax n_ax_s_t </s>	アンタゴニスト	アンタガニスト
<s> `b_ae_k `g_r_aw_n_d `jh_aa_b </s>	バックグラウンドジョブ	バックグラウンドジョブ
<s> k_ax_m `p_ae_n d_ih_ng </s>	コンパンディング	コンパンディング
<s> ax `n_aa f_ax l_eh_s </s>	アノフェレス	アノフォレス
<s> `v_eh_k t_er `f_aa_n_t </s>	ベクトルフォント	ベクターフォント
<s> `b_r_ey_k `p_oy_n_t </s>	ブレークポイント	ブレーキポイント
<s> `l_ah_g d_uw `n_ey_m </s>	ラグドゥネーム	ラグドゥネーム
<s> `b_uh l_ax `v_aa_r_d </s>	ブールバード	ブッリバード
<s> ax `s_iy t_ax `m_ih n_ax f_ax_n </s>	アセトアミノフェン	アセトミニフィン
<s> `s_ih_m_r_th </s>	シムアース	シムアース
<s> `d_r_eh s_ih_ng </s>	ドレッシング	ドレッシング
<s> `s_ao_r_s `aa_r `k_ay_v </s>	ソースアーカイブ	ソースアーカイブ
<s> m_ax `hh_aa g_ax n_iy </s>	マホガニー	マホガニ
<s> `g_ow_l d_ax_n `g_ow_l </s>	ゴールデンゴール	ゴールデンゴール
<s> `b_iy n_ih_n </s>	ベナン	ビーニン
<s> `p_ae_n `th_eh n_ao_l </s>	パンテノール	パンテノール
<s> `k_ah_f_s `k_ah v_er </s>	カフスカバー	カフスカバー
<s> `p_eh r_ax `l_eh_l k_ax `n_eh_k t_er </s>	パラレルコネクタ	パラレルコネクタ
<s> `p_eh_n `f_l_ih_k </s>	ペンフリック	ペンフリック
<s> p_ih k_ax_t </s>	ピコット	ピケット
<s> `hh_ao_r_n </s>	ホーン	ホルン
<s> `t_ay_m `k_ow_d </s>	タイムコード	タイムコード
<s> `d_ay_m t_r_ow d_ax_n </s>	ディメトロドン	ジメトロドン
<s> `aa l_ax_v `oy_l </s>	オリーブオイル	アリーブオイル
<s> `sh_eh r_ih_ng ax `r_uw_m, `f_l_ae_t, ax `p_aa_r_t m_ax_n_t, `ao_r `hh_aw_s </s>	ルームシェア	シェアリングアヤパートオーハウス
<s> `d_ey t_ax `r_eh k_er_d </s>	データレコード	データリカー
<s> `t_r_ey_d `m_aa_r_k </s>	トレードマーク	トレードマーク
<s> `z_ih_n_k </s>	ジンク	ジンク
<s> `ih t_r_iy ax_m </s>	イットリウム	イトリーウム
<s> `l_aa_k_s </s>	ロックス	ロック
<s> `oy_l `s_t_ow_n </s>	オイルストーン	オイルストーン
<s> `aa_r m_ih_ng </s>	アーミング	アーミング
<s> `s_ey_m `b_aa l_ow </s>	チェンバロ	チェンバロ
<s> `m_eh_n s_ih_z </s>	メンス	メンス
<s> `ay v_iy `s_t_ay_l </s>	アイビースタイル	アイビースタイル
<s> `ao f_ax_s </s>	オフィス	オーフィス
<s> `k_ah `l_aa_t `s_k_er_t </s>	キュロットスカート	カロットスカート
<s> `aw_t `d_ao_r `sh_aa_p </s>	アウトドアショップ	アウトドアショップ
<s> `w_ao_r d_ax_n </s>	ウォーデン	ウォーデン
<s> ax_n `hh_ae p_iy </s>	アンハッピー	アンハッピー
<s> `n_ah_l `b_ay_t </s>	ヌルバイト	ヌルバイト
<s> `t_ih_m p_ax `n_iy </s>	ティンパニ	ティンパニー
<s> k_r_uw `s_ey_d </s>	クルーセード	クルーセード
<s> `p_eh s_ax `m_ih s_t_ih_k </s>	ペシミスティック	パシミスティック
<s> `hh_ae_f `w_er_d </s>	ハーフワード	ハーフワード
<s> ih `n_ae_n t_iy ax m_er </s>	エナンチオマー	エナンチアマ
<s> `m_aw_n t_ih_ng </s>	マウンティング	マウンティング
<s> sh_ax `k_aa `g_ow </s>	シカゴ	アカゴ
<s> `m_ey `k_w_iy_n </s>	メークイン	マクイーン
<s> `b_l_ae_ng k_ax_t `eh r_iy ax </s>	ブランケットエリア	ブランケットエリア
<s> `m_aa `d_eh l_ih_ng </s>	モデリング	モデリング
<s> `b_ae_g </s>	バッグ	バッグ
<s> ax `s_iy t_ax_l `s_eh l_y_ax `l_ow_s </s>	アセチルセルロース	アセチルセルロース
<s> `k_aa_s_t ih `f_eh_k t_ih_v </s>	コストエフェクティブ	コストエフェクティブ
<s> `t_eh l_er </s>	テラー	テラー
<s> `ih_n s_t_ax_n_s </s>	インスタンス	インスタンス
<s> `k_aa_n s_t_ax_n_t </s>	コンスタント	コンスタント
<s> `ae jh_ax `t_ey_t </s>	アジテイト	アジテイト
<s> `k_r_ao_s `f_ay er </s>	クロスファイア	クロスファイア
<s> `r_ih_m n_ih_t </s>	リムネット	リムネット
<s> `s_eh_n t_er `p_iy_s </s>	センターピース	センターピース
<s> `k_l_ih_r `l_ae k_er </s>	クリアラッカー	クリアラコ
<s> `th_iy_m p_r_ax `m_ow sh_ax_n </s>	テーマプロモーション	テーマプロモーション
<s> `p_eh r_ax `p_eh r_ax </s>	パラパラ	パラパラ
<s> `f_ay_n d_ih_ng </s>	ファインディング	ファインディング
<s> `k_ih_ng `p_ih_n </s>	キングピン	キングピン
<s> `ow_l_d `b_oy </s>	オールドボーイ	オールドボーイ
<s> `k_ae_l s_iy ax_m `s_ay ax n_aa `m_ay_d </s>	カルシウムシアナミド	カルシウムサイアナミド
<s> `ah_n d_er `k_ow_t </s>	アンダーコート	アンダーコート
<s> `m_ah_l t_iy `p_aa_r_t `m_eh s_ax_jh </s>	マルチパートメッセージ	マルチパートメセージ
<s> `r_eh k_er_d `p_l_ey er </s>	レコードプレーヤー	レコードプレーヤー
<s> `s_t_r_ey_t `k_ao_r_s </s>	ストレートコース	ストレートコース
<s> `k_ae l_ax `f_ao_r n_y_ax </s>	カリフォルニア	カリフォルニア
<s> `ow r_ih_v `w_aa_r </s>	オールヴォワール	オールヴォワール
<s> `b_iy `f_iy t_er </s>	ビーフィーター	ビーフィーター
<s> `ae_n t_iy aa l_iy `ae s_ih_ng </s>	アンチエイリアシング	アンチアリアシング
<s> `s_w_eh_t `p_ae_n_t_s </s>	トレーニングパンツ	スウェットパンツ
<s> `k_ae `m_eh_l l_iy ax </s>	カメリア	カメリア
<s> `eh-m `eh-m `ow </s>	エムエムオー	エムエムオー
<s> `d_iy_p `l_ih_ng_k </s>	ディープリンク	ディープリンク
<s> `p_eh_n s_ax_l `k_ey_s </s>	ペンシルケース	ペンシルケース
<s> `t_r_ae v_ax_l `b_ah b_ax_l </s>	トラベルバブル	トラベルボバル
<s> `t_eh_k n_ow `s_uw p_er `l_ay n_er </s>	テクノスーパーライナー	テクノスーパーライナー
<s> `ow v_er `p_r_eh z_ax_n_s </s>	オーバープレゼンス	オーバープレザンス
<s> `hh_ih_t `m_ae_n </s>	ヒットマン	ヒットマン
<s> `r_aa_k_s `g_l_ae_s </s>	ロックグラス	ロックグラス
<s> `b_ae t_ih_ng `ae v_er ih_jh </s>	バッティングアベレージ	バトエバーレージ
<s> `z_ow_n `m_eh_l t_ih_ng </s>	ゾーンメルティング	ゾーンメルティング
<s> `m_ay `k_r_aa m_ih `k_r_ow </s>	マイクロマイクロ	マイクロミクロ
<s> `b_uh l_y_ax_n `s_t_ih_ch </s>	バリオンステッチ	ブッリオンステッチ
<s> `b_aa_r t_er </s>	バーター	バーター
<s> `eh_r `s_er v_ax_s </s>	エアサービス	エアサービス
<s> `m_ih n_ih s_aa_ng </s>	ミンネザング	ミニザング
<s> ao_l `t_er n_ax t_ih_v `s_p_ey_s </s>	オールターナティブスペース	オールターナティブスペース
<s> `m_y_aa_n `m_aa_r </s>	ミャンマー	ミャンマー
<s> `b_iy t_ih_ng `r_iy_d </s>	ビーティングリード	ビーティングリード
<s> `d_eh s_m_ax s_ax_m </s>	デスモソーム	デスモソーム
<s> d_ih `k_aa_t </s>	ジクワット	デコット
<s> `hh_iy l_iy ax_m `g_ae_s </s>	ヘリウムガス	ヘリウムガス
<s> m_ih n_ax `t_ao_r </s>	ミノタウロス	ミニター
<s> `s_t_er l_ih_ng </s>	スターリング	スターリング
<s> `b_ae n_y_ax_n </s>	バンヤン	バニオン
<s> `jh_aa_b `t_ay_p </s>	ジョブタイプ	ジョブタイプ
<s> `m_ih_l k_ih_ng `ae_k sh_ax_n </s>	ミルキングアクション	ミルキングアクション
<s> `t_ah_ng `ah_v `b_iy_f, `p_ao_r_k, `eh_t `s_eh t_er ax </s>	タン	タングオブレットセルア
<s> `v_ae n_ax t_iy `b_ae_g </s>	バニティーバッグ	バニティーバッグ
<s> `w_ih_n_d `sh_ih_r </s>	ウィンドシアー	ウインドシヤー
<s> m_ax `t_ae l_ih_k `s_k_iy_z </s>	メタリックスキー	マタリックスキー
<s> `ih_ng g_l_ax_n_d </s>	イングランド	イングランド
<s> `z_iy_l </s>	ジール	ジール
<s> t_eh_k `t_aa n_ih_k_s </s>	テクトニクス	テクトニクス
<s> `v_ay k_ih_ng </s>	バイキング	バイキング
<s> ax_w_ey `g_ow_l_z </s>	アウェーゴール	ウェイゴール
<s> `m_ow b_ax_l `g_ih_r </s>	モバイルギア	モバイルギア
<s> `l_ih_ng `g_w_ay_n </s>	リングイネ	リングイネ
<s> `y_uw n_ax `f_ao_r_m `r_iy s_ao_r_s `l_ow `k_ey t_er </s>	ユニフォームリソースロケータ	ユーナフォームリソースローカタ
<s> `n_eh_k_s_t </s>	ネクスト	ネクスト
<s> r_ih `f_r_eh_sh </s>	リフレッシュ	リフレッシュ
<s> k_ax `p_uw `eh r_ax </s>	カポエイラ	カプエリ
<s> r_ih `t_er_n `p_ae_s </s>	リターンパス	リターンパス
<s> `sh_er `z_ae_n d_ow </s>	スケルツァンド	シャーキサンド
<s> r_iy `l_ow `k_ey sh_ax_n </s>	リロケーション	リロケーション
<s> `d_ey `l_ay_t `s_k_r_iy_n </s>	デーライトスクリーン	デーライトバック
<s> `p_ah m_ax_s `s_t_ow_n </s>	パミストン	パミスストーン
<s> `hh_ae_m s_ax </s>	ハムサ	ハムサ
<s> `l_ih_ng g_w_ax `f_r_ae_ng k_ax </s>	リンガフランカ	リンガフランコ
<s> `d_iy l_ih_ng `r_uw_m </s>	ディーリングルーム	デリングルーム
<s> `g_ay_d `p_ih_n </s>	ガイドピン	ガイドピン
<s> `s_ih r_ax_m </s>	セラム	シラム
<s> `b_iy_m `r_ay d_er </s>	ビームライダー	ビームライダー
<s> `s_ae_n_d `d_aa l_er </s>	サンドドラー	サンドドラ
<s> `n_aa_n `k_l_ih_ng </s>	ノンクリング	ノンラップ
<s> `jh_ae_z `k_ao r_ax_s </s>	ジャズコーラス	ジャズコリス
<s> `b_ah_l_k `l_ay_n </s>	バルクライン	バルクライン
<s> ax `t_ae_k `p_ae t_er_n </s>	アタックパターン	アタックパターン
<s> r_ow `m_ae_n `s_k_aa_r </s>	ロマンスカー	ロマンスカー
<s> `r_aw t_ih_ng </s>	ルーティング	ルーティング
<s> `y_uw_th </s>	ユース	ユース
<s> `hh_w_ay_t `k_r_ih s_m_ax_s </s>	ホワイトクリスマス	ホワイトクリスマス
<s> `l_uh `k_ih z_ax_m </s>	ルッキズム	ルキズム
<s> `ih_n s_t_ax `g_r_ae m_er </s>	インスタグラマー	インスタグラマー
<s> `s_ay ax_n `t_ih f_ih_k </s>	サイエンティフィック	サイエンティフィック
<s> `s_ey n_ax_n </s>	ザーネン	サニン
<s> `oy_l `sh_ey_l </s>	オイルシェール	オイルシェール
<s> `k_ae r_ih_jh r_ih `t_er_n </s>	キャリッジリターン	カリッジリターン
<s> `t_uh_r </s>	ツアー	トー
<s> `s_uw p_er `ae `l_oy </s>	スーパーアロイ	スーパーアロイ
<s> `t_r_eh `f_oy_l </s>	トレフォイル	トレフォイル
<s> b_r_ax `m_ah_n d_iy </s>	バラマンディ	ブラマンディ
<s> `g_ey_m </s>	ゲーム	ゲーム
<s> `k_l_ao r_ow `eh th_ax `l_iy_n </s>	クロロエチレン	クロロエチレン
<s> `s_ey l_ih_ng </s>	セイリング	サリング
<s> `hh_eh r_ow `ih z_ax_m </s>	ヒロイズム	ヘロイズム
<s> hh_ow `l_ih s_t_ih_k `hh_eh_l_th </s>	ホリスティックヘルス	ホリスティックヘルス
<s> y_uw `t_ih l_ax t_iy r_uw `t_iy_n `p_r_ow `g_r_ae_m </s>	ユーティリティルーチンプログラム	ユーティリティラチンプログラム
<s> `t_ae_b_d `b_r_aw z_ih_ng </s>	タブブラウズ	タブブラウジング
<s> `b_ih_g `f_uh_t </s>	ビッグフット	ビッグフット
<s> `eh d_ax_t `b_ao_k_s </s>	エディットボックス	エディットボックス
<s> `eh `s_p_r_eh s_ow `d_aa p_iy ow </s>	エスプレッソドッピオ	エスプレッソドアオ
<s> `s_ay b_er `s_p_ey_s </s>	サイバースペース	サイバースペース
<s> `ch_aa_r_t `f_ay_l </s>	チャートファイル	チャートファイル
<s> `l_ey b_ax_l </s>	レッテル	レベル
<s> ae_k `s_eh_n ch_ax `ey sh_ax_n </s>	アクセンチュエイション	アクセンチュアシ
<s> `hh_ae_n_d `b_uh_k </s>	ハンドブック	ハンドブック
<s> `d_eh r_ih_s </s>	デリス	デリ
<s> r_ih `b_uw_t </s>	リブート	リブート
<s> `b_eh_d `th_r_ow </s>	ベッドスロー	ベッドスロー
<s> `p_ah_n ch_er </s>	パンチャー	パンチャー
<s> `t_ey p_ax `d_ao_ng </s>	テポドン	テーポドン
<s> `s_ay k_l_ow </s>	シクロ	サイクロ
<s> `b_ey b_iy `b_ae_th </s>	ベビーバス	ベビーバス
<s> `ao r_ax jh_ax_n </s>	オリジン	オーラギン
<s> `s_m_ao_l </s>	スモール	リ
<s> `b_ao_k </s>	ボーク	ボーキ
<s> `g_l_ow b_ax_l s_ax `p_l_ay `ch_ey_n </s>	グローバルサプライチェーン	グローバルサプライチェーン
<s> `eh_r `f_ih_l t_er </s>	エアフィルタ	エアフィルタ
<s> `g_r_ey </s>	グレー	グレー
<s> `hh_y_uw m_ax `n_oy_d </s>	ヒューマノイド	ヒューマノイド
<s> `hh_aa_r_t `k_ae_m </s>	ハートカム	ハートキャン
<s> `w_ay er `s_p_iy_d </s>	ワイヤースピード	ワイヤースピード
<s> ax `g_ow `m_eh `l_ae `t_iy_n </s>	アゴメラチン	アゴメラチン
<s> r_ax `k_ow `k_ow </s>	ロココ	リココ
<s> `k_r_ih s_m_ax_s `p_uh d_ih_ng </s>	クリスマスプディング	クリスマスプディング
<s> `t_ow k_ax_n `b_ah_s `n_eh `t_w_er_k </s>	トークンバスネットワーク	トコンバスネットワーク
<s> d_ih `z_er_t `w_ay_n </s>	デザートワイン	デザートワイン
<s> `ae jh_ax `t_aa t_ow </s>	アジタート	アジタト
<s> `n_ae_f th_ax `l_iy_n </s>	ナフタレン	ナフタリン
<s> `aa d_iy `ow </s>	オーディオ	アジオ
<s> `b_uh_k `sh_eh_l_f </s>	ブックシェルフ	ブックシェルフ
<s> `ay s_ow `t_ae_k t_ih_k `p_aa l_iy `p_r_ow p_ax `l_iy_n </s>	アイソタクチックポリプロピレン	アイソタクティックポリプロパリン
<s> ih_n `s_t_ao_l </s>	インスコ	インストール
<s> v_ax `r_ay_ih t_iy `m_iy_t </s>	バラエティーミート	バラエティーミート
<s> `b_eh_n `z_ih l_ax d_ax `n_iy_n </s>	ベンジルアデニン	ベンジリダニン
<s> `v_eh l_ax_m </s>	ベラム	ベラム
<s> `k_ey aa_s </s>	ケイオス	ケーイオス
<s> `s_t_r_ay_k </s>	スト	ストライキ
<s> `s_ih r_iy ax_l k_ax `n_eh_k t_er </s>	シリアルコネクタ	シリアルカネクタ
<s> `ao_n `l_ay_n `t_eh_s_t `p_r_ow `g_r_ae_m </s>	オンラインテストプログラム	オンラインテストプログラム
<s> `ow_t `m_iy_l </s>	オートミール	テミール
<s> `ay `d_ay ax `g_r_ae_m </s>	アイダイアグラム	アイダイアグラム
<s> `eh_n_d `m_ih_l </s>	エンドミル	エンドミル
<s> `l_ae_ng g_w_ax_jh </s>	ランゲージ	ランゲージ
<s> ih `t_er n_ax_l </s>	エターナル	エターナル
<s> `eh_g `p_aa s_t_ax </s>	エッグパスタ	エッグポスト
<s> `ae l_ih `d_ey_d </s>	アリダード	アリダード
<s> `m_eh g_ax </s>	メガ	メガ
<s> `s_ow sh_ax_l `s_k_ih_l </s>	ソーシャルスキル	ソシャスキル
<s> `jh_aa k_iy </s>	ジョッキー	ジャカ
<s> `ch_ey_n `m_ey_l </s>	チェインメイル	チェーンメール
