no-hit no-run game	ノーヒットノーランゲーム
family brand	ファミリーブランド
sunsuit	サンスーツ
arginase	アルギナーゼ
application	アプリケーション
data mining	データマイニング
vinyl	ビニール
tape library	テープライブラリー
night dive	ナイトダイブ
cyanobacteria	シアノバクテリア
interior fabric	インテリアファブリック
Vienna sausage	ウインナー
swan	スワン
gamma ramp	ガンマランプ
desk set	デスクセット
Papuan toby	パプアントビー
anthology	アンソロジー
autopsy imaging	オートプシーイメージング
program	プログラム
guitar	ギター
yellow margin moray eel	ゴマウツボ
system activity	システムアクティビティ
httpd	エイチティーティーピーディー
mobile Internet	モバイルインターネット
slime	スライム
red-tailed black shark	レッドテールブラックシャーク
online dating app	マッチングアプリ
nativism	ネーティビズム
see-through look	シースルールック
sister	シスター
daily satellite feed	デーリーサテライトフィード
makes sense	メイクセンス
lentil	レンチル
auto indent	オートインデント
free rifle	フリーライフル
fireman	ファイアマン
spaghetti aglio, olio e peperoncino	ペペロンチーノ
easy-going	イージーゴーイング
end to end	エンドエンド
Internet shopping	インターネットショッピング
mixed juice drink	フルーツドリンク
Media Player	メディアプレーヤー
discount price	スペシャルプライス
footlights	フットライト
proportional spacing	プロポーショナルスペーシング
headline	ヘッドライン
persimmon	パーシモン
suni	スニ
meson	メソン
Boxing Day	ボクシングデー
signalling mechanism	シグナリングメカニズム
hard sauce	ハードソース
no tipping	ノーチップ
front wheel drive	フロントドライブ
stucco	スタッコ
petrofood	ペトロフード
motor glider	モーターグライダー
gradient	グラディエント
English	イングリッシュ
environment	インバイアロンメント
comedian	コメディアン
truck trailer	トラックトレーラー
sweeper	スイーパー
chloramphenicol	クロラムフェニコール
asp	エジプトコブラ
spintronics	スピントロニクス
service center	サービスセンター
data fork	データフォーク
screwdriver	スクリュードライバー
monomaniac	モノマニアック
prompt	プロンプト
communication system	コミュニケーションシステム
rigging	リギング
multicast address	マルチキャストアドレス
dicyanogen	ジシアン
triple axel	トリプルアクセル
soft ball	スポンジボール
projector	プロジェクター
subliminal tape	サブリミナルテープ
frame-up	フレームアップ
night table	ナイトテーブル
systems flow chart	システムフローチャート
command level	コマンドレベル
overflow	オーバーフロー
Aleut	アレウト
royalty	ロイヤリティ
silent majority	サイレントマジョリティー
gnome	ノーム
cosmic bowling	コズミックボーリング
in-basket	インバスケット
Allen's chromis	オナガスズメダイ
jump ball	ジャンプボール
portfolio selection	ポートフォリオセレクション
limit	リミット
découpage	デコパージュ
tennis elbow	テニスエルボー
mayonnaise	マヨネーズ
jeggings	レギンスパンツ
keyword search	キーワードサーチ
interceptor	インターセプター
aconitine	アコニチン
data packet	データパケット
Doppler	ドップラー
reference service	レファレンスサービス
groomer	グルーマー
tag line	タグライン
topical	トピカル
hackney	ハクニー
reading	リーディング
ambulance with a doctor onboard	ドクターカー
camcorder	カムコーダー
whitebar gregory	キオビスズメダイ
pop music	ポップミュージック
network protocol analyzer	ネットワークプロトコルアナライザ
sketch phone	スケッチホン
sutchi catfish	カイヤン
Ada	エイダ
on-the-job training	オージェーティー
bleeding	ブリード
Taliban	タリバン
Sanforized	サンフォライズ
kale	ケール
reflective	リフレクティブ
banner	バナー
psychograph	サイコグラフ
saga	サガ
intelligent cable	インテリジェントケーブル
modal	モーダル
give-and-take	ギブアンドテーク
equalizer	イコライザ
processor card	プロセッサカード
tragic	トラジック
paternalism	パターナリズム
purser	パーサー
delinquent	ヤンキー
double booking	ダブルブッキング
vector font	ベクターフォント
point	ポイント
emerging	エマージング
copolymer	コポリマー
gold medalist	ゴールドメダリスト
chlorosis	クロロシス
abnormal termination	アベンド
hypochondria	ヒポコンデリー
roadster	ロードスター
green scat	グリーンスキャット
black angelfish	クロキンチャクダイ
musculoskeletal deterioration in the elderly reducing locomotive ability	ロコモティブシンドローム
Ayurveda	アーユルヴェーダ
water yam	ウォーターヤム
bottom	ボトム
idyll	アイディル
overnight bag	オーバーナイトバッグ
drawn game	ドローンゲーム
washable	ウオッシャブル
candle	キャンドル
caravansary	キャラバンサライ
potentiometer	ポテンシオメーター
authoring program	オーサリングプログラム
airline	エアライン
BOOTP	ブートピー
rhim gazelle	リムガゼル
iodine	アイオダイン
biocomputer	バイオコンピュータ
moratorium	モラトリアム
inverter	インバーター
police box	ポリスボックス
roll call	ロールコール
green iguana	グリーンイグアナ
guest room	ゲストルーム
arch dam	アーチダム
terbium	テルビウム
maguey	マゲイ
tower	タワー
pelletizing	ペレタイジング
loafers	ローファー
slide projector	スライドプロジェクター
bluespotted angelfish	ブルースポッティドエンジェルフィッシュ
text image	テキストイメー
travel	トラヴェル
leading company	リーディングカンパニー
multiple access	マルチプルアクセス
broadcloth	ブロードクロス
excursion train	ジョイフルトレイン
guile	ガイル
danceable	ダンサブル
grid computing	グリッドコンピューティング
Ruländer	ルーレンダー
duffer	ダファー
microcell	ミクロセル
coq d'or	コックドール
noise canceller	ノイズキャンセラー
partial	パーシャル
magic mushroom	マジックマッシュルーム
acoustic emission	アコースティックエミッション
cybercash	サイバーキャッシュ
drip-dry	ノーアイロン
carnelian	カーネリアン
PReP	プレップ
injection	インジェクション
back pay	バックペイ
parasol	パラソル
nail file	ネイルファイル
encyclopedia	エンサイクロペディア
sexual	セクシャル
sandbox	サンドボックス
physical protection	フィジカルプロテクション
saleswoman	セールスウーマン
long hair	ロングヘア
acephate	アセフェート
yellow-speckled chromis	イエロースペックルドクロミス
common language	コモンランゲージ
ergonomics	エルゴノミクス
National League	ナショナルリーグ
full-course dinner	フルコース
nee-naw	ピーポー
markup inflation	マークアップインフレ
estate	エステート
social media	ソーシャルメディア
glass fiber	グラスファイバー
Verdejo	ベルデホ
gadget	ガゼット
accessory	アクセサリー
base memory	ベースメモリ
straight punch	ストレートパンチ
spotted sharpnosed puffer	スポッテッドシャープノーズパファー
orchestra	オーケストラ
clarinet	クラリオネット
collaborative essay series	リレーエッセイ
nipplefruit	フォックスフェイス
sports gym	スポーツジム
central kitchen	セントラルキッチン
shortcut key	ショートカットキー
incremental backup	インクリメンタルバックアップ
absorber	アブソーバー
phrase	フレーズ
trick work	トリックワーク
wrestler	レスラー
sales engineer	セールスエンジニア
fluctuomatics	フラクチュオマティクス
tampon	タンポン
Pacific	パシフィック
cool biz	クールビズ
basilica	バシリカ
cleverness	マリーシア
virtual mall	バーチャルモール
headband	ヘアバンド
all-rounder	オールラウンダー
aluminium sash	アルミサッシ
key point	キーポイント
perfect body	パーフェクトボディ
metamedia	メタメディア
on-deck circle	ウェイティングサークル
wear indicator	ウエアインジケーター
independence	インデペンデンス
buffer under-run error	バッファアンダーランエラー
ballerina	バレリーナ
patty	パティ
access point	アクセスポイント
side pocket	サイドポケット
Moldavia	モルドバ
Pseudorinelepis genibarbis	アーマードプレコ
visual shell	ビジュアルシェル
exemption	エグゼンプション
tourbillon	トゥールビヨン
no wait state memory	ノーウェイト
keyboard template	キーボードテンプレート
puppy	パピー
moai	モアイ
diamond	ディアマン
appointment	アポイントメント
eye mask	アイマスク
snorkeling	スノーケリング
badge test	バッジテスト
semicircle angelfish	サザナミヤッコ
robo-advisor	ロボットアドバイザー
microscope	マイクロスコープ
farm stay	ファームステイ
rotoscope	ロトスコープ
cobalt green	コバルトグリーン
Flying Dutchman	フライングダッチマン
bank	バンク
subculture	サブカル
lactam	ラクタム
racon	レーコン
fantasia	ファンタジア
lesbian	ビアン
plunger	ラバーカップ
Polynesia	ポリネシア
keyboard reset	キーボードリセット
trichloroethylene	トリクロ
project leader	プロジェクトリーダー
Duce	ドゥーチェ
disk device	ディスクデバイス
rotary engine	ロータリーエンジン
network access point	ネットワークアクセスポイント
announcer	アナウンサー
bora	ボラ
penicillin	ペニシリン
command	コマンド
punchball	パンチボール
network drive	ネットワークドライブ
functional	ファンクショナル
quick tabs	クイックタブ
gauze	ゴーズ
salon where the hostesses are supposedly part-timers with other jobs	アルサロ
American mink	アメリカミンク
tights	タイツ
brain trust	ブレーントラスト
noblesse oblige	ノブレスオブリージュ
modernity	モダニティー
love play	ラブプレー
mint candy	ミントキャンディ
Ambon chromis	アンボンスズメダイ
South Korean comics	マンファ
dryer	ドライヤー
mendelevium	メンデレビウム
INTERTop	インタートップ
Gouraud shading	グーローシェーディング
tumbler switch	タンブラースイッチ
American joke	アメリカンジョーク
out-sourcing	アウトソーシング
yohimbe	ヨヒンベ
eleventh	イレブンス
guardrail	ガードレール
feminity test	フェミニティーテスト
catch light	キャッチライト
tumbleweed	タンブルウィード
double quotation	ダブルクォーテーション
big game	ビッグゲーム
sister complex	シスコン
rubbish disposal chute	ダストシュート
gadget	ガジェット
NERICA	ネリカ
mysterious	ミステリアス
timidly	オドオド
shaper	シェーパー
document window	ドキュメントィンドウ
fried chicken	フライドチキン
dime	ダイム
abortion	アボーション
SYMBIOS	シムバイオス
in-goal area	インゴール
time-switch	タイムスイッチ
canyon	キャニオン
cycle	チクルス
heat spreader	ヒートスプレッダ
roll	ロール
crostini	クロスティーニ
golf ball	ゴルフボール
Silver Week	シルバーウィーク
source	ソース
real mode	リアルモード
chai tea	チャイティー
NetPhone	ネットフォン
gene	ジーン
cortisone	コーチゾン
information literacy	インフォメーションリテラシー
nonrun	ノンラン
hi-fi	ハイファイ
Nazi	ナチス
baseball	ベースボール
nameplate	ネームプレート
bunt and run	バントアンドラン
major label debut	メジャーデビュー
anima	アニマ
config.	コンフィグ
plywood panel	コンポジットパネル
fruit sandwich	フルーツサンド
carafe	カラフ
VGA	ブイジーエー
magnetron	マグネトロン
vuvuzela	ブブゼラ
video engineer	ビデオエンジニア
sock puppet	ソックパペット
pumps	パンプス
scoping	スコーピング
mulesing	ミュールシング
computer network	コンピューターネットワーク
SRAM	エスラム
nanobiology	ナノバイオロジー
secondary email	サブアド
kidney	キドニー
ThinkPad	シンクパッド
jacket	ダストカバー
coatdress	コートドレス
atmosphere	アトモスフィア
angel hair pasta	カペッリダンジェロ
assault	アサルト
answer file	アンサーファイル
detection	ディテクション
MTS	エムティーエス
curly men's hairstyle, usu. associated with yakuza or delinquents	パンチパーマ
tail	テイル
dBASE	ディーベース
hexoxy	ヘキソキシ
quasar	クエーサー
cheating	チート
application-bundling	アプリケーションバンドル
coin-operated parking	コインパーキング
hold	ダンブル
polo coat	ポロコート
Smalltalk	スモールトーク
dark age	ダークエージ
radar gun	レーダーガン
anti-hacking	アンチハッキング
intelligent mux	インテリジェントマルチプレクサ
model featured in an advertising campaign	キャンギャル
cheap chic	チープシック
argh	アイゴー
instructor	インストラクター
dark-fin chromis	ヒレグロスズメダイ
malvertising	マルバタイジング
power window	パワーウインドー
euphonium	ユーフォニアム
young girls who imitate the style of singer Amuro Namie	アムラー
Dadaism	ダダイスム
kayak	カヤック
Afro-Caribbean	アフロカリビアン
scratch player	スクラッチプレーヤー
routine	ルーチン
earmuffs	イヤーマフ
minivan	ワンボックス
geode	ジオード
Pyrex glass	パイレックスガラス
semisweet chocolate	セミスイートチョコレート
Guinean angelfish	ギニアンエンジェルフィッシュ
wording	ワーディング
dwarf	ドワーフ
Bodianus cylindriatus	アカボウ
monorail	モノレール
sound box	サウンドボディー
flash over	フラッシュオーバー
Guevarista	ゲバリスタ
chocolate chips	チョコチップ
chocolate cake	チョコレートケーキ
switched virtual circuit	スイッチドバーチャルサーキット
tournament	トーナメント
chimera	キメラ
TV announcer not directly employed by a	フリーアナ
isotactic polyolefin	アイソタクチックポリオレフィン
SGML	エスジーエムエル
side drum	サイドドラム
Smith's butterflyfish	スミスィズバタフライフィッシュ
nonsense	ナンセンス
Botswana	ボツワナ
smoking jacket	スモーキングジャケット
sampling keyboard	サンプリングキーボード
lackey	ポチ
Schiava	スキアーヴァ
jackal	ジャッカル
live house	ライヴハウス
garter snake	ガータースネーク
center circle	センターサークル
dollar shock	ドルショック
cassata	カッサータ
rubber racket	ラバーラケット
code	コード
endive	エンダイブ
endive	アンディーブ
low-floor bus	ノンステップバス
bilateral	バイラテラル
tournament tour	トーナメントツアー
metafile	メタファイル
andantino	アンダンティーノ
low-heeled shoes	ローヒール
jamboree	ジャンボリー
kneader	ニーダ
corduroy	コーデュロイ
knife	ナイフ
ice cream	アイスクリーム
gum tragacanth	トラガントガム
wire-wrapping	ワイヤラッピング
Shakti	シャクティ
downbeat	ダウンビート
brown-and-white butterflyfish	ブラックピラミッドバタフライフィッシュ
convention	コンベンション
masturbation	オナニー
tongue splitting	スプリットタン
memory module	メモリモジュール
saxophone	サクソフォン
bustier	ビシチェ
nonbook	ノンブック
proletarian	プロレタリア
remix	リミックス
casserole	キャセロール
reminder	リマインダー
à la carte	アラカルト
Havana	ハバナ
carbonless paper	カーボンレスペーパー
photochromic lens	フォトクロミックレンズ
reference book	リファレンスブック
peso	ペソ
pint	パイント
transaminase	トランスアミナーゼ
store	ストア
gymnastics	ジムナスチックス
concord	コンコルド
drawnwork	ドロンワーク
comedic style	コメディタッチ
clink	シャキーン
hand-knit	ハンドニット
cabinet monitoring	キャビネットモニタリング
elastomer	エラストマー
sunroof	サンルーフ
grand cru	グランクリュ
Japanesque	ジャポネスク
Monotis	モノチス
Stanford	スタンフォード
carotene	カロチン
full time	フルタイム
cornrow style	コーンロースタイル
put	プット
filter	フィルター
jambalaya	ジャンバラヤ
chromatic	クロマチック
émigré	エミグレ
story teller	ストーリーテラー
snack	スナック
investor	インベスター
political correctness	ポリコレ
dolphin	ドルフィン
bulbnose unicornfish	バルブノーズユニコーンフィッシュ
saccharase	サッカラーゼ
computer-vision	コンピュータービジョン
muffler	マフラー
mob	モブ
Mahatma	マハトマ
photo gallery	フォトギャラリー
middle name	ミドルネーム
lanthanum	ランタン
electric commerce	エレクトリックコマース
terrarium	テラリウム
void	ボイド
tennis-wear	テニスウェア
agathis	アガチス
face outline	フェイスライン
yellowfin surgeonfish	クロハギ
trimer	トリマー
sensual	センシュアル
modernize	モダナイズ
the left	パヨク
nagware	ネイグウェア
minibus	ミニバス
united	ユナイテッド
soloist	ソロイスト
ski slope	ゲレンデ
main newscaster	メインキャスター
wire glass	ワイヤグラス
contribution	コントリビューション
cinematograph	シネマトグラフ
pica	ピカ
swinger party	スインガーパーティー
piano trio	ピアノトリオ
double contingency	ダブルコンティンジェンシー
syphilis	シフィリス
lemon peel	レモンピール
collecting rocks and mineral specimens	ストーンハンティング
coffee syrup	コーヒーシロップ
static RAM	スタティックラム
flow control	フローコントロール
all-round	オールラウンド
Yugoslavia	ユーゴ
helical spring	ヘリカルスプリング
endorsement	エンドース
print queue	プリントキュー
multiprocessor	マルチプロセッサ
early check-in	アーリーチェックイン
new traditional	ニュートラ
file-slot	ファイルスロット
Japanese woman who readily sleeps with foreign men	イエローキャブ
zero waste	ゼロウェイスト
magic hand	マジックハンド
cruising bar, esp. for gays	ホモバー
repertory system	レパートリーシステム
automotive electronics	カーエレクトロニクス
Narcissus	ナルキッソス
topping	トッピング
emerald tree monitor	エメラルドツリーモニター
line card	ラインカード
amateur orchestra	アマチュアオーケストラ
reskilling	スキルアップ
farm	ファーム
windup	ワインドアップ
data processor	データプロセッサー
hemochromatosis	ヘモクロマトーシス
cliometrics	クリオメトリクス
sabbatical year	サバティカルイヤー
dot-com bubble	インターネットバブル
window blind	ブラインド
cartoon characters	アニメキャラ
street girl	ストリートガール
common chimpanzee	チンパンジー
bust pad	バストパッド
violin made by Stradivari	ストラディバリ
parallel interface	パラレルインターフェース
acronym	アクロニム
Boy Scouts	ボーイスカウト
scarf	スカーフ
permanent wave	パーマネントウエーブ
grandfather	エカシ
expensive	エクスペンシブ
paramedical staff	パラメディカルスタッフ
active task	アクティブタスク
I'm sorry	アイムソーリーヒゲソーリー
take-off	テイクオフ
message box	メッセージボックス
screen	エクラン
insulation	インシュレーション
morphing	モーフィング
Iowa	アイオワ
pulse oximeter	パルスオキシメーター
public hearing	パブリックヒアリング
spearfishing	スピアフィッシング
Doi Moi	ドイモイ
architecture	アーキテクチャ
crab cake	クラブケーキ
frigidity	フリジディティー
attractive male voice	イケボ
Bluetooth	ブルートゥース
blackcurrant	カシス
bay area	ベイエリア
metaphysical	メタフィジカル
ice sledge hockey	アイススレッジホッケー
near pin	ニアピン
glyceride	グリセリド
network computer	ネットワークコンピュータ
plain tripe	ミノ
individualist	インディビジュアリスト
hurdle	ハードル
README	リードミー
fountain	ファウンテン
imaging	イメージング
aperture	アパーチャ
unilateralism	ユニラテラリズム
date spot	デートスポット
dreadnought	ドレッドノート
bisexual	バイセク
Niamey	ニアメ
screw gear	スクリューギア
peptide hormone	ペプチドホルモン
tariqa	タリーカ
clipping path	クリッピングパス
audience	オーディエンス
block device	ブロックデバイス
Cossack	コサック
Kaaba	カーバ
weathercock	ウエザーコック
railway	レールウェー
chartist	チャーチスト
slew rate	スルーレート
Western grip	ウエスタングリップ
communication	コミュニケーション
tele	テレ
bib	ビブ
mountain bicycle	マウンテンバイク
Bahrain	バーレーン
abstract	アブスト
API	エーピーアイ
moisture	モイスチャー
transaction text	トランザクションテキスト
Gunma prefecture	グンマー
mestizo	メスティーソ
aerodynamic automobile parts	エアロパーツ
service car	サービスカー
entertainer	タレ
hypercard	ハイパーカード
Denver	デンバー
only	オンリー
originally from Korea	ウリジナル
Stasi	シュタージ
engineering plastics	エンプラ
victim	ビクティム
plecostomus	プレコ
frock	フロック
humor	ユーモア
outlet box	アウトレットボックス
job entry subsystem	ジェス
print spooling	プリントスプール
floor shift	フロアシフト
delicious	ボーノ
curry bread	カレーパン
no hint	ノーヒント
Napoleon	ナポレオン
garage sale	ガレージセール
digital divide	デジタルデバイド
ununtrium	ウンウントリウム
Gosbank	ゴスバンク
shredded cheese	シュレッドチーズ
exchange order	エクスチェンジオーダー
nippers	ニッパー
InfoSphere	インフォスフィア
epitaxy	エピタキシー
sadistic	サディスティック
PEN club	ペンクラブ
grandstand play	スタンドプレー
chipboard	チップボード
root module	ルートモジュール
source code	ソースコード
patron	パトロン
dial plan	ダイヤルプラン
vent	ベント
exchange zone	タッチゾーン
trestle	トレッスル
Unicode	ユニコード
sound board	サウンドボード
decal	デカール
deck	デッキ
caramel sauce	カラメルソース
woman paid to accompany men at various events	レセプタント
packet analyzer	スニッファ
panty girdle	パンティーコルセット
helper application	ヘルパーアプリケーション
trekker	トレッカー
spyware	スパイウエア
voltameter	ボルタメーター
desk chair	デスクチェア
debugging	デバッギング
lawn skiing	ローンスキー
clioquinol	クリオキノール
sweep	スウィープ
PC100	ピーシーヒャク
composter	コンポスター
poison	ポイズン
urban sprawl	アーバンスプロール
glucitol	グルシトール
nickel-cadmium	ニッケルカドミウム
female patissier	パティシエール
long stride	ロングストライド
camshaft	カムシャフト
public space	パブリックスペース
stoicism	ストイシズム
lace monitor	レースモニター
deep	ディープ
stun	スタン
cheer	チア
cogito, ergo sum	コギトエルゴスム
green man	グリーンマン
mortgage	モーゲージ
pinto bean	ピントビーン
canneloni	カネロニー
popularity	ポピュラリティー
permanent press	パーマネントプレス
double dribble	ダブルドリブル
box store	ボックスストア
elementary	エレメンタリー
picturesque	ピクチャレスク
wearable personal computer	ウェアラブルパソコン
wave-front	ウエーブフロント
repulsive man	キモメン
Grüner Veltliner	グリューナーフェルトリーナー
peat pot	ピートポット
flicker test	フリッカーテスト
heterosexual	ヘテロセクシュアル
life history	ライフヒストリー
glossy abelia	アベリア
add-on board	アドオンボード
exorcist	エクソシスト
proxy	プロキシ
basil	バジリコ
overstep	オーバーステップ
remastering	リマスター
Scripture	スクリプチャー
community school	コミュニティースクール
racist	レイシスト
pink noise	ピンクノイズ
sediment	セジメント
diminished chord	ディミニッシュ
Pueblo Indian	プエブロインディアン
bias tape	バイアステープ
suction	サクション
operating system	オペレーションシステム
oregano	オレガノ
loving home	スイートホーム
petalite	ペタライト
information processor	インフォメーションプロセッサー
poliovirus	ポリオウイルス
tricolored monitor	セグロオオトカゲ
Florida panther	フロリダパンサー
blacktail wrasse	ブラックテールラス
convict cichlid	コンビクトシクリッド
accommodation	アコモデーション
symmetry	シンメトリー
head-disk assembly	ヘッドディスクアセンブリ
punching	パンチング
marking	マーキング
hipster	ヒップスター
Tirana	ティラナ
moral dilemma	モラルジレンマ
eightstripe wrasse	ヤスジニセモチノウオ
Malta	マルタ
business applications	ビジネスアプリケーション
raglan sleeve	ラグランスリーブ
patchim	パッチム
small or short woman with a sexy body	トランジスターグラマー
signal	シグナル
steel band	スチールバンド
rose	ロゼワイン
Caladoc	カラドック
East Side	イーストサイド
working holiday	ワーホリ
local community newspaper	タウンニュース
beginner	ビギナー
news source	ニュースソース
raster scan	ラスタースキャン
pregnancy discrimination	マタハラ
shoran	ショーラン
collar	カラー
program function key	プログラムファンクションキー
body sculpture	ボディースカルプチャー
test pilot	テストパイロット
pentazocine	ペンタゾシン
headcheese	ヘッドチーズ
dormie hole	ドーミーホール
ab roller	アブローラー
sequence	セクエンツィア
Fleming	フラマン
cream-filled roll	クリームパン
image sensor	イメージセンサー
TPC	ティーピーシー
diacritic	ダイアクリティック
oil-heater	オイルヒーター
fog lamp	フォッグランプ
pointing	ポインティング
new academism	ニューアカデミズム
super-low	スーパーロー
wavefront	ウェーブフロント
tabula rasa	タブララサ
polyp	ポリープ
browse	バロース
day pack	デイパック
prescoring	プレスコ
dynamic linking library	ダイナミックリンクライブラリ
supply	サプライ
Red Sea bannerfish	レッドシーバナーフィッシュ
ice pudding	アイスプディング
buttermilk	バターミルク
interface board	インターフェイスボード
rock wool	ロックウール
excimer	エキシマ
brass band	ブラバン
PC-PTOS	ピーシーピートス
Parmesan cheese	パルメザンチーズ
masterpiece	マスターピース
bollard	ボラード
boiler	ボイラー
anime song	アニメソング
copy holder	データホルダー
brooch	ブローチ
delete key	デリートキー
drawer	ドロワー
thawb	トーブ
character based	キャラクタベース
sadomasochism	サドマゾ
lane line	コースライン
professional	プロ
tomato paste	トマトペースト
non-terminal	ノンターミナル
ODBMS	オーデービーエムエス
ganglioside	ガングリオシド
email address	メアド
nicotine lollipop	ニコチンキャンディー
account policy	アカウントポリシー
melancholic	メランコリック
Panama Papers	パナマペーパー
movie	ムーヴィー
die casting	ダイキャスト
addressing mode	アドレッシングモード
active filter	アクティブフィルタ
LHarc	エルエイチアーク
backplane	バックプレーン
function key	ファンクションキー
rupiah	ルピア
freeway	フリーウェイ
housing service	ハウジングサービス
harbor	ハーバー
viewport	ビューポート
belt	サンチュール
opossum	オポッサム
NuBus	ヌーバス
means test	ミーンズテスト
short-scale	ショートスケール
sleeping bag	シュラフザック
good will	グッドウィル
Thursday	サーズデー
payroll	ペイロール
global village	グローバルビレッジ
cinema complex	シネコン
barium	バリウム
roots	ルーツ
computation	コンピュテーション
Microsoft PowerPoint	パワポ
drop-down list box	ドロップダウンリストボックス
egosearching	エゴサ
system television	システムテレビ
roll out	ロールアウト
all-occasion dress	オールオケージョンドレス
brigantine	ブリガンチン
cult	カルト
microelectronics	マイクロエレクトロニクス
potentiality	ポテンシャリティ
chaconne	シャコンヌ
cerussite	セルサイト
content-bundling	コンテンツバンドル
beauty parlour	カットハウス
lamé	ラメ
millisecond	ミリセカンド
client-server model	クライアントサーバモデル
papaya	パパイヤ
Behcet	ベーチェット
teacher	ティーチャー
steam hammer	スチームハンマー
patting	パッティング
scope note	スコープノート
post office	ポストオフィス
turbojet engine	ターボジェットエンジン
smoking	スモーキング
saute	ソテー
speed sprayer	スピードスプレーヤー
armor	アーマー
slicker	スリッカー
shooter	シューター
total	トータル
pike	パイク
Kwanzaa	クワンザ
opening event	オープニングイベント
distemper	ジステンパー
away game	アウェーゲーム
registry editor	レジストリエディタ
art glass	アートガラス
time card	タイムカード
cycasin	サイカシン
tacking	タッキング
minor	マイナー
complex	コンプレックス
color arrangement	カラーアレンジメント
double-play	ゲッツー
cookie	ビスケット
dessert	デザート
high-res	ハイレゾ
uniform	ユニ
bookend	ブックエンド
Tuvalu	ツバル
ASKUL	アスクル
crosshead	クロスヘッド
festival	フェスタ
upward compatibility	アップワードコンパチブル
enswell	エンスウェル
Naypyitaw	ネピドー
Kant	カント
main routine	メインルーチン
beat generation	ビートジェネレーション
fairy-tale-like	メルヘンチック
ACK	アック
Mothers	マザーズ
dead time	デッドタイム
dive computer	ダイコン
reseller	リセラー
zero cost	ゼロコスト
conscious	コンシャス
nursehound	ナースハウンド
middle management	ミドルマネージマント
politician	ポリティシャン
helmet	メット
long boots	ロングブーツ
bikont	バイコンタ
promenade deck	プロムナードデッキ
cyberterrorism	サイバーテロ
espadrille	エスパドリーユ
amenity	アメニティー
nonlinear	ノンリニア
home security system	ホームセキュリティーシステム
cogeneration	コージェネレーション
spritzer	スプリッツァー
pull	プル
garbology	ガーボロジー
custom subnet mask	カスタムサブネットマスク
messaging service	メッセージングサービス
peak traffic	ピークトラヒック
gotcha	ガッチャ
meander	メアンダー
paper fan used in slapstick comedy	ハリセン
yellow-dotted butterflyfish	テングチョウチョウウオ
transvestite	ミスターレディー
employability	エンプロイアビリティ
battement	バットマン
power sharing	パワーシェアリング
sports science	スポーツサイエンス
nearly equal	ニアリーイコール
welcome drink	ウェルカムドリンク
fade ball	フェードボール
maestro	マエストロ
power strip	テーブルタップ
cosmetic lens	コスメチックレンズ
negotiation	ネゴシエート
playful romance	プレーラブ
client access license	クライアントアクセスライセンス
embroidery	エンブロイダリー
mechanical recycling	メカニカルリサイクル
pandan	パンダン
Aureomycin	オーレオマイシン
malt whisky	モルトウイスキー
tee batting	ティーバッティング
crop	クロップ
steradian	ステラジアン
Mussolini	ムッソリーニ
homework	ホームワーク
reasonable	リーズナブル
Medusa	メドゥーサ
feed lot	フィードロット
high tea	ハイティー
tropical fruits	トロピカルフルーツ
IE	アイイー
ion	イオン
solo camping	ソロキャンプ
loudness	ラウドネス
sable	セーブル
long-barbel goatfish	ロングバーベルゴートフィッシュ
people between whom there is tension	テンションピープル
EMB	イーエムビー
show	ショー
usability	ユーザービリティ
Procyon	プロキオン
visa	ビザ
batting practice facility	バッティングセンター
front	フロント
musk	ムスク
entertainment	エンタメ
walk	ウォーク
safe mode	セーフモード
free-hand	フリーハンド
macrobiotics	マクロビオティック
patchwork	パッチワーク
beam antenna	ビームアンテナ
text user interface	テキストユーザインタフェース
job menu	ジョブメニュー
salad bowl	サラダボウル
gig	ギグ
negritude	ネグリチュード
eye shield	アイシールド
biocomputer	バイオコンピューター
garment	ガーメント
gloriosa	グロリオーサ
interception	インターセプション
lettering	レタリング
aluminum-foil burner liner	ガスマット
haggis	ハギス
dropout	ドロップアウト
open collar	オープンカラー
treasure	トレジャー
FIFO	ファイフォー
open-air	オープンエア
chloromycetin	クロロマイセチン
house boat	ハウスボート
Job Entry System	ジョブエントリシステム
power shovel	パワーショベル
Hydrolagus eidolon	ニジギンザメ
shearing	シャリング
Greco-Roman	グレコローマン
roger	ラジャ
deregulation	ディレギュレーション
aneurin	アノイリン
Japanese restaurant	ジャパレス
Frisbee	フリスビー
oyster sauce	オイスターソース
bisexual	バイセクシャル
double-count	ダブルカウント
push bunt	プッシュバント
chant	チャント
X.25	エックスニーゴー
refactoring	リファクタリング
savanna monitor	サバンナモニター
banded angelfish	バンディッドエンジェルフィッシュ
Mississippi	ミシシッピ
instruction set	インストラクションセット
kid	キッド
the	ザ
bread roll	コッペパン
dandyism	ダンディズム
rich text format	リッチテキストフォーマット
desktop	デスクトップ
calipers	キャリパス
discrepancy	アンマッチ
hone	ホーン
monomania	モノマニア
signalling message	シグナリングメッセージ
Service Bureau	サービスビューロー
trackman	トラックマン
energy	エネルギー
oil brake	オイルブレーキ
ghoul	グール
scratch race	スクラッチレース
speak	スピーク
roller skate	ローラースケート
short stay	ショートステイ
mobile computing	モービルコンピューティング
routine work	ルーチンワーク
Obamacare	オバマケア
soap	ソープ
chess	チェス
soliton	ソリトン
Eviota sp.3	コメツブイソハゼ
bicycle	バイシクル
speculator	スペキュレーター
mazurka	マズルカ
